x,Curve1
0,0.22259
0.97,0.20949
2.089,0.1964
2.984,0.18985
3.954,0.18331
4.999,0.17676
5.969,0.16694
7.013,0.16039
8.058,0.16039
9.028,0.14403
9.998,0.14075
11.042,0.13748
12.012,0.13421
13.057,0.12766
14.027,0.12439
14.997,0.13421
16.041,0.14403
16.937,0.14075
17.832,0.14075
18.951,0.14075
19.996,0.14075
20.966,0.14075
22.01,0.15057
23.055,0.15057
24.025,0.15712
24.995,0.17349
26.039,0.18985
27.009,0.21604
28.054,0.24223
29.024,0.28151
29.919,0.31751
31.038,0.36989
32.008,0.43208
33.053,0.49427
34.023,0.54992
34.993,0.63175
36.037,0.71358
37.007,0.79214
37.977,0.8707
39.022,0.95254
40.066,1.02455
41.036,1.07365
42.006,1.10638
43.051,1.1162
44.021,1.09984
45.065,1.07365
46.035,1.05074
46.931,1.01146
48.05,0.96563
49.02,0.93617
50.064,0.91653
51.034,0.89362
52.079,0.86416
53.049,0.84452
54.019,0.82488
55.063,0.80524
56.033,0.7856
57.003,0.76923
58.048,0.74959
59.018,0.72995
60.062,0.71031
61.032,0.6874
62.077,0.6743
63.047,0.66121
64.017,0.64484
64.987,0.6383
66.031,0.61538
67.001,0.60229
68.046,0.5892
69.016,0.5761
69.985,0.55646
71.105,0.54664
72,0.53682
73.045,0.53355
74.015,0.51718
75.059,0.51391
75.954,0.50409
76.999,0.49755
78.044,0.48118
78.939,0.47463
79.983,0.46481
81.028,0.44517
82.073,0.43535
83.042,0.42553
83.938,0.41899
85.057,0.41899
86.027,0.41244
86.997,0.40917
88.041,0.39935
89.011,0.41899
90.056,0.42226
90.951,0.41899
91.921,0.42881
93.04,0.43863
94.01,0.44517
94.98,0.45827
95.95,0.46481
96.995,0.48445
97.965,0.50409
98.935,0.52373
99.979,0.54337
101.024,0.55974
102.068,0.58592
103.038,0.61211
104.008,0.62848
105.053,0.65466
105.948,0.6743
107.067,0.69394
108.037,0.71031
109.007,0.7234
109.977,0.73322
111.022,0.73322
112.066,0.73322
113.036,0.72995
114.006,0.7234
115.051,0.71686
116.021,0.71031
116.991,0.70049
118.035,0.69722
119.005,0.6874
120.05,0.68085
121.02,0.68085
122.064,0.6743
123.034,0.66776
124.004,0.66448
124.899,0.65794
126.019,0.65139
127.063,0.64157
128.033,0.63175
129.003,0.61866
130.048,0.5892
131.018,0.56628
132.062,0.53682
133.107,0.51064
134.077,0.48445
135.047,0.45499
136.091,0.42553
137.061,0.3928
138.031,0.36007
139.001,0.32733
140.046,0.29787
141.09,0.27169
141.985,0.25205
143.03,0.22913
